Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,18-11-2025,10:23:01,0:24:05,0.00,154,,,,,314,,,,,,,,,,"5000m row
time: 19:31 min
341 cals
pace: 1010-1050 cals/hour",None,None,182,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:17,73,,,,,,,,,
,00:02:18,77,,,,,,,,,
,00:02:19,80,,,,,,,,,
,00:02:20,81,,,,,,,,,
,00:02:21,83,,,,,,,,,
,00:02:22,85,,,,,,,,,
,00:02:23,88,,,,,,,,,
,00:02:24,91,,,,,,,,,
,00:02:25,94,,,,,,,,,
,00:02:26,96,,,,,,,,,
,00:02:27,99,,,,,,,,,
,00:02:28,101,,,,,,,,,
,00:02:29,104,,,,,,,,,
,00:02:30,106,,,,,,,,,
,00:02:31,107,,,,,,,,,
,00:02:32,108,,,,,,,,,
,00:02:33,109,,,,,,,,,
,00:02:34,111,,,,,,,,,
,00:02:35,112,,,,,,,,,
,00:02:36,112,,,,,,,,,
,00:02:37,113,,,,,,,,,
,00:02:38,113,,,,,,,,,
,00:02:39,113,,,,,,,,,
,00:02:40,113,,,,,,,,,
,00:02:41,114,,,,,,,,,
,00:02:42,114,,,,,,,,,
,00:02:43,114,,,,,,,,,
,00:02:44,115,,,,,,,,,
,00:02:45,115,,,,,,,,,
,00:02:46,116,,,,,,,,,
,00:02:47,117,,,,,,,,,
,00:02:48,117,,,,,,,,,
,00:02:49,118,,,,,,,,,
,00:02:50,118,,,,,,,,,
,00:02:51,119,,,,,,,,,
,00:02:52,119,,,,,,,,,
,00:02:53,120,,,,,,,,,
,00:02:54,120,,,,,,,,,
,00:02:55,120,,,,,,,,,
,00:02:56,120,,,,,,,,,
,00:02:57,121,,,,,,,,,
,00:02:58,121,,,,,,,,,
,00:02:59,121,,,,,,,,,
,00:03:00,121,,,,,,,,,
,00:03:01,122,,,,,,,,,
,00:03:02,123,,,,,,,,,
,00:03:03,123,,,,,,,,,
,00:03:04,124,,,,,,,,,
,00:03:05,125,,,,,,,,,
,00:03:06,125,,,,,,,,,
,00:03:07,126,,,,,,,,,
,00:03:08,126,,,,,,,,,
,00:03:09,127,,,,,,,,,
,00:03:10,127,,,,,,,,,
,00:03:11,127,,,,,,,,,
,00:03:12,127,,,,,,,,,
,00:03:13,128,,,,,,,,,
,00:03:14,128,,,,,,,,,
,00:03:15,128,,,,,,,,,
,00:03:16,129,,,,,,,,,
,00:03:17,129,,,,,,,,,
,00:03:18,129,,,,,,,,,
,00:03:19,130,,,,,,,,,
,00:03:20,130,,,,,,,,,
,00:03:21,130,,,,,,,,,
,00:03:22,131,,,,,,,,,
,00:03:23,131,,,,,,,,,
,00:03:24,131,,,,,,,,,
,00:03:25,132,,,,,,,,,
,00:03:26,132,,,,,,,,,
,00:03:27,132,,,,,,,,,
,00:03:28,133,,,,,,,,,
,00:03:29,132,,,,,,,,,
,00:03:30,133,,,,,,,,,
,00:03:31,133,,,,,,,,,
,00:03:32,133,,,,,,,,,
,00:03:33,133,,,,,,,,,
,00:03:34,134,,,,,,,,,
,00:03:35,134,,,,,,,,,
,00:03:36,134,,,,,,,,,
,00:03:37,135,,,,,,,,,
,00:03:38,135,,,,,,,,,
,00:03:39,136,,,,,,,,,
,00:03:40,136,,,,,,,,,
,00:03:41,137,,,,,,,,,
,00:03:42,138,,,,,,,,,
,00:03:43,138,,,,,,,,,
,00:03:44,138,,,,,,,,,
,00:03:45,139,,,,,,,,,
,00:03:46,139,,,,,,,,,
,00:03:47,139,,,,,,,,,
,00:03:48,139,,,,,,,,,
,00:03:49,139,,,,,,,,,
,00:03:50,139,,,,,,,,,
,00:03:51,140,,,,,,,,,
,00:03:52,140,,,,,,,,,
,00:03:53,140,,,,,,,,,
,00:03:54,140,,,,,,,,,
,00:03:55,141,,,,,,,,,
,00:03:56,141,,,,,,,,,
,00:03:57,141,,,,,,,,,
,00:03:58,141,,,,,,,,,
,00:03:59,141,,,,,,,,,
,00:04:00,141,,,,,,,,,
,00:04:01,142,,,,,,,,,
,00:04:02,142,,,,,,,,,
,00:04:03,142,,,,,,,,,
,00:04:04,143,,,,,,,,,
,00:04:05,143,,,,,,,,,
,00:04:06,143,,,,,,,,,
,00:04:07,143,,,,,,,,,
,00:04:08,143,,,,,,,,,
,00:04:09,144,,,,,,,,,
,00:04:10,143,,,,,,,,,
,00:04:11,143,,,,,,,,,
,00:04:12,144,,,,,,,,,
,00:04:13,144,,,,,,,,,
,00:04:14,144,,,,,,,,,
,00:04:15,145,,,,,,,,,
,00:04:16,145,,,,,,,,,
,00:04:17,145,,,,,,,,,
,00:04:18,145,,,,,,,,,
,00:04:19,145,,,,,,,,,
,00:04:20,145,,,,,,,,,
,00:04:21,145,,,,,,,,,
,00:04:22,145,,,,,,,,,
,00:04:23,145,,,,,,,,,
,00:04:24,146,,,,,,,,,
,00:04:25,146,,,,,,,,,
,00:04:26,146,,,,,,,,,
,00:04:27,146,,,,,,,,,
,00:04:28,146,,,,,,,,,
,00:04:29,146,,,,,,,,,
,00:04:30,146,,,,,,,,,
,00:04:31,146,,,,,,,,,
,00:04:32,146,,,,,,,,,
,00:04:33,146,,,,,,,,,
,00:04:34,146,,,,,,,,,
,00:04:35,146,,,,,,,,,
,00:04:36,147,,,,,,,,,
,00:04:37,147,,,,,,,,,
,00:04:38,147,,,,,,,,,
,00:04:39,148,,,,,,,,,
,00:04:40,147,,,,,,,,,
,00:04:41,147,,,,,,,,,
,00:04:42,148,,,,,,,,,
,00:04:43,147,,,,,,,,,
,00:04:44,148,,,,,,,,,
,00:04:45,148,,,,,,,,,
,00:04:46,148,,,,,,,,,
,00:04:47,149,,,,,,,,,
,00:04:48,148,,,,,,,,,
,00:04:49,148,,,,,,,,,
,00:04:50,148,,,,,,,,,
,00:04:51,149,,,,,,,,,
,00:04:52,149,,,,,,,,,
,00:04:53,149,,,,,,,,,
,00:04:54,149,,,,,,,,,
,00:04:55,149,,,,,,,,,
,00:04:56,150,,,,,,,,,
,00:04:57,150,,,,,,,,,
,00:04:58,150,,,,,,,,,
,00:04:59,151,,,,,,,,,
,00:05:00,150,,,,,,,,,
,00:05:01,150,,,,,,,,,
,00:05:02,151,,,,,,,,,
,00:05:03,151,,,,,,,,,
,00:05:04,151,,,,,,,,,
,00:05:05,151,,,,,,,,,
,00:05:06,151,,,,,,,,,
,00:05:07,151,,,,,,,,,
,00:05:08,151,,,,,,,,,
,00:05:09,151,,,,,,,,,
,00:05:10,151,,,,,,,,,
,00:05:11,151,,,,,,,,,
,00:05:12,151,,,,,,,,,
,00:05:13,150,,,,,,,,,
,00:05:14,150,,,,,,,,,
,00:05:15,151,,,,,,,,,
,00:05:16,151,,,,,,,,,
,00:05:17,151,,,,,,,,,
,00:05:18,151,,,,,,,,,
,00:05:19,151,,,,,,,,,
,00:05:20,151,,,,,,,,,
,00:05:21,151,,,,,,,,,
,00:05:22,151,,,,,,,,,
,00:05:23,151,,,,,,,,,
,00:05:24,151,,,,,,,,,
,00:05:25,151,,,,,,,,,
,00:05:26,151,,,,,,,,,
,00:05:27,151,,,,,,,,,
,00:05:28,151,,,,,,,,,
,00:05:29,152,,,,,,,,,
,00:05:30,152,,,,,,,,,
,00:05:31,152,,,,,,,,,
,00:05:32,152,,,,,,,,,
,00:05:33,152,,,,,,,,,
,00:05:34,152,,,,,,,,,
,00:05:35,153,,,,,,,,,
,00:05:36,153,,,,,,,,,
,00:05:37,153,,,,,,,,,
,00:05:38,153,,,,,,,,,
,00:05:39,153,,,,,,,,,
,00:05:40,153,,,,,,,,,
,00:05:41,153,,,,,,,,,
,00:05:42,153,,,,,,,,,
,00:05:43,153,,,,,,,,,
,00:05:44,153,,,,,,,,,
,00:05:45,153,,,,,,,,,
,00:05:46,153,,,,,,,,,
,00:05:47,153,,,,,,,,,
,00:05:48,153,,,,,,,,,
,00:05:49,153,,,,,,,,,
,00:05:50,153,,,,,,,,,
,00:05:51,153,,,,,,,,,
,00:05:52,154,,,,,,,,,
,00:05:53,154,,,,,,,,,
,00:05:54,154,,,,,,,,,
,00:05:55,154,,,,,,,,,
,00:05:56,155,,,,,,,,,
,00:05:57,155,,,,,,,,,
,00:05:58,155,,,,,,,,,
,00:05:59,155,,,,,,,,,
,00:06:00,155,,,,,,,,,
,00:06:01,155,,,,,,,,,
,00:06:02,155,,,,,,,,,
,00:06:03,155,,,,,,,,,
,00:06:04,155,,,,,,,,,
,00:06:05,155,,,,,,,,,
,00:06:06,155,,,,,,,,,
,00:06:07,155,,,,,,,,,
,00:06:08,155,,,,,,,,,
,00:06:09,155,,,,,,,,,
,00:06:10,155,,,,,,,,,
,00:06:11,155,,,,,,,,,
,00:06:12,155,,,,,,,,,
,00:06:13,155,,,,,,,,,
,00:06:14,155,,,,,,,,,
,00:06:15,155,,,,,,,,,
,00:06:16,155,,,,,,,,,
,00:06:17,155,,,,,,,,,
,00:06:18,155,,,,,,,,,
,00:06:19,155,,,,,,,,,
,00:06:20,156,,,,,,,,,
,00:06:21,156,,,,,,,,,
,00:06:22,156,,,,,,,,,
,00:06:23,156,,,,,,,,,
,00:06:24,156,,,,,,,,,
,00:06:25,156,,,,,,,,,
,00:06:26,156,,,,,,,,,
,00:06:27,156,,,,,,,,,
,00:06:28,157,,,,,,,,,
,00:06:29,157,,,,,,,,,
,00:06:30,157,,,,,,,,,
,00:06:31,157,,,,,,,,,
,00:06:32,157,,,,,,,,,
,00:06:33,157,,,,,,,,,
,00:06:34,157,,,,,,,,,
,00:06:35,157,,,,,,,,,
,00:06:36,157,,,,,,,,,
,00:06:37,157,,,,,,,,,
,00:06:38,157,,,,,,,,,
,00:06:39,157,,,,,,,,,
,00:06:40,157,,,,,,,,,
,00:06:41,157,,,,,,,,,
,00:06:42,157,,,,,,,,,
,00:06:43,157,,,,,,,,,
,00:06:44,158,,,,,,,,,
,00:06:45,158,,,,,,,,,
,00:06:46,158,,,,,,,,,
,00:06:47,158,,,,,,,,,
,00:06:48,158,,,,,,,,,
,00:06:49,158,,,,,,,,,
,00:06:50,158,,,,,,,,,
,00:06:51,158,,,,,,,,,
,00:06:52,159,,,,,,,,,
,00:06:53,158,,,,,,,,,
,00:06:54,159,,,,,,,,,
,00:06:55,158,,,,,,,,,
,00:06:56,159,,,,,,,,,
,00:06:57,159,,,,,,,,,
,00:06:58,158,,,,,,,,,
,00:06:59,158,,,,,,,,,
,00:07:00,158,,,,,,,,,
,00:07:01,159,,,,,,,,,
,00:07:02,159,,,,,,,,,
,00:07:03,158,,,,,,,,,
,00:07:04,159,,,,,,,,,
,00:07:05,159,,,,,,,,,
,00:07:06,159,,,,,,,,,
,00:07:07,158,,,,,,,,,
,00:07:08,159,,,,,,,,,
,00:07:09,159,,,,,,,,,
,00:07:10,159,,,,,,,,,
,00:07:11,159,,,,,,,,,
,00:07:12,159,,,,,,,,,
,00:07:13,159,,,,,,,,,
,00:07:14,159,,,,,,,,,
,00:07:15,160,,,,,,,,,
,00:07:16,160,,,,,,,,,
,00:07:17,160,,,,,,,,,
,00:07:18,160,,,,,,,,,
,00:07:19,160,,,,,,,,,
,00:07:20,160,,,,,,,,,
,00:07:21,161,,,,,,,,,
,00:07:22,161,,,,,,,,,
,00:07:23,161,,,,,,,,,
,00:07:24,161,,,,,,,,,
,00:07:25,161,,,,,,,,,
,00:07:26,161,,,,,,,,,
,00:07:27,161,,,,,,,,,
,00:07:28,162,,,,,,,,,
,00:07:29,162,,,,,,,,,
,00:07:30,161,,,,,,,,,
,00:07:31,161,,,,,,,,,
,00:07:32,161,,,,,,,,,
,00:07:33,161,,,,,,,,,
,00:07:34,161,,,,,,,,,
,00:07:35,159,,,,,,,,,
,00:07:36,160,,,,,,,,,
,00:07:37,160,,,,,,,,,
,00:07:38,161,,,,,,,,,
,00:07:39,161,,,,,,,,,
,00:07:40,161,,,,,,,,,
,00:07:41,161,,,,,,,,,
,00:07:42,161,,,,,,,,,
,00:07:43,162,,,,,,,,,
,00:07:44,162,,,,,,,,,
,00:07:45,161,,,,,,,,,
,00:07:46,162,,,,,,,,,
,00:07:47,162,,,,,,,,,
,00:07:48,162,,,,,,,,,
,00:07:49,162,,,,,,,,,
,00:07:50,162,,,,,,,,,
,00:07:51,162,,,,,,,,,
,00:07:52,163,,,,,,,,,
,00:07:53,163,,,,,,,,,
,00:07:54,162,,,,,,,,,
,00:07:55,163,,,,,,,,,
,00:07:56,162,,,,,,,,,
,00:07:57,162,,,,,,,,,
,00:07:58,162,,,,,,,,,
,00:07:59,162,,,,,,,,,
,00:08:00,162,,,,,,,,,
,00:08:01,162,,,,,,,,,
,00:08:02,162,,,,,,,,,
,00:08:03,162,,,,,,,,,
,00:08:04,162,,,,,,,,,
,00:08:05,162,,,,,,,,,
,00:08:06,162,,,,,,,,,
,00:08:07,162,,,,,,,,,
,00:08:08,162,,,,,,,,,
,00:08:09,162,,,,,,,,,
,00:08:10,162,,,,,,,,,
,00:08:11,162,,,,,,,,,
,00:08:12,162,,,,,,,,,
,00:08:13,162,,,,,,,,,
,00:08:14,162,,,,,,,,,
,00:08:15,163,,,,,,,,,
,00:08:16,163,,,,,,,,,
,00:08:17,163,,,,,,,,,
,00:08:18,163,,,,,,,,,
,00:08:19,163,,,,,,,,,
,00:08:20,163,,,,,,,,,
,00:08:21,163,,,,,,,,,
,00:08:22,163,,,,,,,,,
,00:08:23,163,,,,,,,,,
,00:08:24,163,,,,,,,,,
,00:08:25,163,,,,,,,,,
,00:08:26,163,,,,,,,,,
,00:08:27,163,,,,,,,,,
,00:08:28,164,,,,,,,,,
,00:08:29,164,,,,,,,,,
,00:08:30,164,,,,,,,,,
,00:08:31,164,,,,,,,,,
,00:08:32,164,,,,,,,,,
,00:08:33,164,,,,,,,,,
,00:08:34,164,,,,,,,,,
,00:08:35,163,,,,,,,,,
,00:08:36,164,,,,,,,,,
,00:08:37,163,,,,,,,,,
,00:08:38,164,,,,,,,,,
,00:08:39,163,,,,,,,,,
,00:08:40,163,,,,,,,,,
,00:08:41,163,,,,,,,,,
,00:08:42,163,,,,,,,,,
,00:08:43,163,,,,,,,,,
,00:08:44,163,,,,,,,,,
,00:08:45,163,,,,,,,,,
,00:08:46,164,,,,,,,,,
,00:08:47,163,,,,,,,,,
,00:08:48,163,,,,,,,,,
,00:08:49,164,,,,,,,,,
,00:08:50,164,,,,,,,,,
,00:08:51,164,,,,,,,,,
,00:08:52,164,,,,,,,,,
,00:08:53,164,,,,,,,,,
,00:08:54,164,,,,,,,,,
,00:08:55,164,,,,,,,,,
,00:08:56,164,,,,,,,,,
,00:08:57,165,,,,,,,,,
,00:08:58,164,,,,,,,,,
,00:08:59,164,,,,,,,,,
,00:09:00,165,,,,,,,,,
,00:09:01,165,,,,,,,,,
,00:09:02,165,,,,,,,,,
,00:09:03,165,,,,,,,,,
,00:09:04,165,,,,,,,,,
,00:09:05,165,,,,,,,,,
,00:09:06,165,,,,,,,,,
,00:09:07,165,,,,,,,,,
,00:09:08,166,,,,,,,,,
,00:09:09,165,,,,,,,,,
,00:09:10,165,,,,,,,,,
,00:09:11,165,,,,,,,,,
,00:09:12,165,,,,,,,,,
,00:09:13,165,,,,,,,,,
,00:09:14,166,,,,,,,,,
,00:09:15,166,,,,,,,,,
,00:09:16,166,,,,,,,,,
,00:09:17,166,,,,,,,,,
,00:09:18,166,,,,,,,,,
,00:09:19,167,,,,,,,,,
,00:09:20,167,,,,,,,,,
,00:09:21,167,,,,,,,,,
,00:09:22,167,,,,,,,,,
,00:09:23,167,,,,,,,,,
,00:09:24,167,,,,,,,,,
,00:09:25,167,,,,,,,,,
,00:09:26,167,,,,,,,,,
,00:09:27,167,,,,,,,,,
,00:09:28,167,,,,,,,,,
,00:09:29,167,,,,,,,,,
,00:09:30,166,,,,,,,,,
,00:09:31,167,,,,,,,,,
,00:09:32,166,,,,,,,,,
,00:09:33,166,,,,,,,,,
,00:09:34,167,,,,,,,,,
,00:09:35,167,,,,,,,,,
,00:09:36,166,,,,,,,,,
,00:09:37,167,,,,,,,,,
,00:09:38,166,,,,,,,,,
,00:09:39,166,,,,,,,,,
,00:09:40,166,,,,,,,,,
,00:09:41,166,,,,,,,,,
,00:09:42,166,,,,,,,,,
,00:09:43,167,,,,,,,,,
,00:09:44,167,,,,,,,,,
,00:09:45,167,,,,,,,,,
,00:09:46,167,,,,,,,,,
,00:09:47,167,,,,,,,,,
,00:09:48,167,,,,,,,,,
,00:09:49,167,,,,,,,,,
,00:09:50,167,,,,,,,,,
,00:09:51,167,,,,,,,,,
,00:09:52,168,,,,,,,,,
,00:09:53,168,,,,,,,,,
,00:09:54,168,,,,,,,,,
,00:09:55,168,,,,,,,,,
,00:09:56,168,,,,,,,,,
,00:09:57,168,,,,,,,,,
,00:09:58,168,,,,,,,,,
,00:09:59,168,,,,,,,,,
,00:10:00,169,,,,,,,,,
,00:10:01,169,,,,,,,,,
,00:10:02,169,,,,,,,,,
,00:10:03,169,,,,,,,,,
,00:10:04,169,,,,,,,,,
,00:10:05,168,,,,,,,,,
,00:10:06,169,,,,,,,,,
,00:10:07,169,,,,,,,,,
,00:10:08,168,,,,,,,,,
,00:10:09,169,,,,,,,,,
,00:10:10,169,,,,,,,,,
,00:10:11,169,,,,,,,,,
,00:10:12,169,,,,,,,,,
,00:10:13,169,,,,,,,,,
,00:10:14,169,,,,,,,,,
,00:10:15,169,,,,,,,,,
,00:10:16,169,,,,,,,,,
,00:10:17,169,,,,,,,,,
,00:10:18,169,,,,,,,,,
,00:10:19,168,,,,,,,,,
,00:10:20,169,,,,,,,,,
,00:10:21,168,,,,,,,,,
,00:10:22,168,,,,,,,,,
,00:10:23,168,,,,,,,,,
,00:10:24,168,,,,,,,,,
,00:10:25,168,,,,,,,,,
,00:10:26,168,,,,,,,,,
,00:10:27,168,,,,,,,,,
,00:10:28,168,,,,,,,,,
,00:10:29,168,,,,,,,,,
,00:10:30,168,,,,,,,,,
,00:10:31,167,,,,,,,,,
,00:10:32,168,,,,,,,,,
,00:10:33,168,,,,,,,,,
,00:10:34,167,,,,,,,,,
,00:10:35,168,,,,,,,,,
,00:10:36,168,,,,,,,,,
,00:10:37,168,,,,,,,,,
,00:10:38,168,,,,,,,,,
,00:10:39,168,,,,,,,,,
,00:10:40,168,,,,,,,,,
,00:10:41,169,,,,,,,,,
,00:10:42,169,,,,,,,,,
,00:10:43,169,,,,,,,,,
,00:10:44,169,,,,,,,,,
,00:10:45,169,,,,,,,,,
,00:10:46,169,,,,,,,,,
,00:10:47,170,,,,,,,,,
,00:10:48,170,,,,,,,,,
,00:10:49,169,,,,,,,,,
,00:10:50,170,,,,,,,,,
,00:10:51,170,,,,,,,,,
,00:10:52,169,,,,,,,,,
,00:10:53,170,,,,,,,,,
,00:10:54,170,,,,,,,,,
,00:10:55,169,,,,,,,,,
,00:10:56,169,,,,,,,,,
,00:10:57,170,,,,,,,,,
,00:10:58,170,,,,,,,,,
,00:10:59,169,,,,,,,,,
,00:11:00,170,,,,,,,,,
,00:11:01,170,,,,,,,,,
,00:11:02,170,,,,,,,,,
,00:11:03,170,,,,,,,,,
,00:11:04,170,,,,,,,,,
,00:11:05,170,,,,,,,,,
,00:11:06,170,,,,,,,,,
,00:11:07,169,,,,,,,,,
,00:11:08,170,,,,,,,,,
,00:11:09,169,,,,,,,,,
,00:11:10,170,,,,,,,,,
,00:11:11,170,,,,,,,,,
,00:11:12,169,,,,,,,,,
,00:11:13,169,,,,,,,,,
,00:11:14,169,,,,,,,,,
,00:11:15,169,,,,,,,,,
,00:11:16,169,,,,,,,,,
,00:11:17,169,,,,,,,,,
,00:11:18,169,,,,,,,,,
,00:11:19,169,,,,,,,,,
,00:11:20,169,,,,,,,,,
,00:11:21,169,,,,,,,,,
,00:11:22,169,,,,,,,,,
,00:11:23,169,,,,,,,,,
,00:11:24,169,,,,,,,,,
,00:11:25,169,,,,,,,,,
,00:11:26,169,,,,,,,,,
,00:11:27,169,,,,,,,,,
,00:11:28,169,,,,,,,,,
,00:11:29,169,,,,,,,,,
,00:11:30,169,,,,,,,,,
,00:11:31,169,,,,,,,,,
,00:11:32,169,,,,,,,,,
,00:11:33,169,,,,,,,,,
,00:11:34,169,,,,,,,,,
,00:11:35,169,,,,,,,,,
,00:11:36,169,,,,,,,,,
,00:11:37,169,,,,,,,,,
,00:11:38,169,,,,,,,,,
,00:11:39,169,,,,,,,,,
,00:11:40,169,,,,,,,,,
,00:11:41,169,,,,,,,,,
,00:11:42,169,,,,,,,,,
,00:11:43,169,,,,,,,,,
,00:11:44,169,,,,,,,,,
,00:11:45,169,,,,,,,,,
,00:11:46,168,,,,,,,,,
,00:11:47,169,,,,,,,,,
,00:11:48,169,,,,,,,,,
,00:11:49,168,,,,,,,,,
,00:11:50,168,,,,,,,,,
,00:11:51,168,,,,,,,,,
,00:11:52,168,,,,,,,,,
,00:11:53,169,,,,,,,,,
,00:11:54,169,,,,,,,,,
,00:11:55,169,,,,,,,,,
,00:11:56,169,,,,,,,,,
,00:11:57,169,,,,,,,,,
,00:11:58,169,,,,,,,,,
,00:11:59,169,,,,,,,,,
