Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,26-11-2025,10:29:57,0:09:22,0.00,114,,,,,69,,,,,,,,,,"30 sec Bulgarian split squats @ 22.5kg single db
30 sec rest 
30 sec turkish sit-ups @ 20kg plate
30 sec rest 

4 rounds",None,None,134,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:05:32,126,,,,,,,,,
,00:05:33,126,,,,,,,,,
,00:05:34,126,,,,,,,,,
,00:05:35,126,,,,,,,,,
,00:05:36,124,,,,,,,,,
,00:05:37,121,,,,,,,,,
,00:05:38,119,,,,,,,,,
,00:05:39,119,,,,,,,,,
,00:05:40,119,,,,,,,,,
,00:05:41,119,,,,,,,,,
,00:05:42,118,,,,,,,,,
,00:05:43,118,,,,,,,,,
,00:05:44,117,,,,,,,,,
,00:05:45,116,,,,,,,,,
,00:05:46,115,,,,,,,,,
,00:05:47,115,,,,,,,,,
,00:05:48,115,,,,,,,,,
,00:05:49,115,,,,,,,,,
,00:05:50,115,,,,,,,,,
,00:05:51,114,,,,,,,,,
,00:05:52,114,,,,,,,,,
,00:05:53,114,,,,,,,,,
,00:05:54,114,,,,,,,,,
,00:05:55,114,,,,,,,,,
,00:05:56,114,,,,,,,,,
,00:05:57,114,,,,,,,,,
,00:05:58,115,,,,,,,,,
,00:05:59,117,,,,,,,,,
,00:06:00,119,,,,,,,,,
,00:06:01,120,,,,,,,,,
,00:06:02,121,,,,,,,,,
,00:06:03,121,,,,,,,,,
,00:06:04,122,,,,,,,,,
,00:06:05,122,,,,,,,,,
,00:06:06,122,,,,,,,,,
,00:06:07,122,,,,,,,,,
,00:06:08,123,,,,,,,,,
,00:06:09,123,,,,,,,,,
,00:06:10,124,,,,,,,,,
,00:06:11,124,,,,,,,,,
,00:06:12,124,,,,,,,,,
,00:06:13,124,,,,,,,,,
,00:06:14,123,,,,,,,,,
,00:06:15,123,,,,,,,,,
,00:06:16,122,,,,,,,,,
,00:06:17,122,,,,,,,,,
,00:06:18,121,,,,,,,,,
,00:06:19,121,,,,,,,,,
,00:06:20,121,,,,,,,,,
,00:06:21,120,,,,,,,,,
,00:06:22,119,,,,,,,,,
,00:06:23,117,,,,,,,,,
,00:06:24,116,,,,,,,,,
,00:06:25,115,,,,,,,,,
,00:06:26,115,,,,,,,,,
,00:06:27,114,,,,,,,,,
,00:06:28,111,,,,,,,,,
,00:06:29,106,,,,,,,,,
,00:06:30,104,,,,,,,,,
,00:06:31,104,,,,,,,,,
,00:06:32,106,,,,,,,,,
,00:06:33,109,,,,,,,,,
,00:06:34,111,,,,,,,,,
,00:06:35,113,,,,,,,,,
,00:06:36,114,,,,,,,,,
,00:06:37,114,,,,,,,,,
,00:06:38,113,,,,,,,,,
,00:06:39,111,,,,,,,,,
,00:06:40,109,,,,,,,,,
,00:06:41,108,,,,,,,,,
,00:06:42,108,,,,,,,,,
,00:06:43,109,,,,,,,,,
,00:06:44,112,,,,,,,,,
,00:06:45,114,,,,,,,,,
,00:06:46,116,,,,,,,,,
,00:06:47,117,,,,,,,,,
,00:06:48,117,,,,,,,,,
,00:06:49,118,,,,,,,,,
,00:06:50,118,,,,,,,,,
,00:06:51,118,,,,,,,,,
,00:06:52,119,,,,,,,,,
,00:06:53,120,,,,,,,,,
,00:06:54,121,,,,,,,,,
,00:06:55,122,,,,,,,,,
,00:06:56,122,,,,,,,,,
,00:06:57,123,,,,,,,,,
,00:06:58,124,,,,,,,,,
,00:06:59,125,,,,,,,,,
,00:07:00,125,,,,,,,,,
,00:07:01,126,,,,,,,,,
,00:07:02,127,,,,,,,,,
,00:07:03,128,,,,,,,,,
,00:07:04,129,,,,,,,,,
,00:07:05,130,,,,,,,,,
,00:07:06,130,,,,,,,,,
,00:07:07,131,,,,,,,,,
,00:07:08,132,,,,,,,,,
,00:07:09,132,,,,,,,,,
,00:07:10,132,,,,,,,,,
,00:07:11,133,,,,,,,,,
,00:07:12,133,,,,,,,,,
,00:07:13,133,,,,,,,,,
,00:07:14,134,,,,,,,,,
,00:07:15,134,,,,,,,,,
,00:07:16,134,,,,,,,,,
,00:07:17,134,,,,,,,,,
,00:07:18,134,,,,,,,,,
,00:07:19,134,,,,,,,,,
,00:07:20,134,,,,,,,,,
,00:07:21,134,,,,,,,,,
,00:07:22,134,,,,,,,,,
,00:07:23,134,,,,,,,,,
,00:07:24,134,,,,,,,,,
,00:07:25,133,,,,,,,,,
,00:07:26,132,,,,,,,,,
,00:07:27,130,,,,,,,,,
,00:07:28,129,,,,,,,,,
,00:07:29,128,,,,,,,,,
,00:07:30,127,,,,,,,,,
,00:07:31,127,,,,,,,,,
,00:07:32,128,,,,,,,,,
,00:07:33,127,,,,,,,,,
,00:07:34,122,,,,,,,,,
,00:07:35,117,,,,,,,,,
,00:07:36,112,,,,,,,,,
